Summary,Issue id,Status,Priority,Resolution,Created,Resolved,Affects Version/s,Description
Distcp -update between different cloud stores to use modification time while checking for file skip.,13519848,Resolved,Major,Fixed,17/Jan/23 05:51,15/Feb/23 11:22,,"Distcp -update currently relies on File size, block size, and Checksum comparisons to figure out which files should be skipped or copied. 
Since different cloud stores have different checksum algorithms we should check for modification time as well to the checks.

This would ensure that while performing -update if the files are perceived to be out of sync we should copy them. The machines between which the file transfers occur should be in time sync to avoid any extra copies.

Improving testing and documentation for modification time checks between different object stores to ensure no incorrect skipping of files."
Java 11 JavaDoc fails due to missing package comments,13522853,Resolved,Major,Duplicate,03/Feb/23 02:14,06/Feb/23 18:16,3.3.5,"Submissions to `hadoop-common` fail in Yetus due to Java 11 JavaDoc errors:
```
[ERROR] /home/builder/src/hadoop/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/util/concurrent/package-info.java:21: error: unknown tag: InterfaceAudience.Private
[ERROR] @InterfaceAudience.Private
[ERROR] ^
[ERROR] /home/builder/src/hadoop/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/util/concurrent/package-info.java:22: error: unknown tag: InterfaceStability.Unstable
[ERROR] @InterfaceStability.Unstable
[ERROR] ^
```"
fix test AbstractContractDistCpTest#testDistCpUpdateCheckFileSkip ,13524809,Resolved,Major,Fixed,15/Feb/23 09:50,22/Feb/23 09:02,,"In the newly introduced test testDistCpUpdateCheckFileSkip, for the first pass of ""distcp -update"", target file should not be present so that the copy takes place and creates the target file. 

Currently, we create both the source and target file with same block size from the start which can lead to flakiness due to race condition causing the modification time of the target file to be greater than/equal to the source and not copy the file at all. This can be seen more in the TestLocalContractDistCp due to no remote calls to create the target.
{code:java}
java.lang.AssertionError: Mismatch in COPY counter value expected:<1> but was:<0>
	at org.junit.Assert.fail(Assert.java:89)
	at org.junit.Assert.failNotEquals(Assert.java:835)
	at org.junit.Assert.assertEquals(Assert.java:647)
	at org.apache.hadoop.tools.contract.AbstractContractDistCpTest.verifySkipAndCopyCounter(AbstractContractDistCpTest.java:1000)
	at org.apache.hadoop.tools.contract.AbstractContractDistCpTest.testDistCpUpdateCheckFileSkip(AbstractContractDistCpTest.java:919) {code}"
Tune ABFS create() retry logic,13527647,Open,Major,,08/Mar/23 14:23,,3.3.5,"Based on experience trying to debug this happening
# add debug statements when create() fails
# generated exception text to reference string shared with tests, path and error code
# generated exception to include inner exception for full stack trace

Currently the retry logic is
# create(overwrite=false)
# if HTTP_CONFLICT/409 raised; call HEAD
# use etag in create(path, overwrite=true, etag)
# special handling of error HTTP_PRECON_FAILED = 412

There's a race condition here, which is if between 1 and 2 the file which exists is deleted. The retry should succeed, but currently a 404 from the head is escalated to a failure

proposed changes
# if HEAD is 404, leave etag == null and continue
# special handling of 412 also to handle 409"
Upgrade hadoop3 docker scripts to use 3.3.5,13530060,Resolved,Major,Fixed,25/Mar/23 12:49,28/Mar/23 06:25,,"Hadoop 3.3.5 is released, the docker3 still points to 3.3,1, Lets upgrade it to 3.3.5

It doesn't work as of now due to broken link to apache-rat-0.13"
ask: abfs connector to support checksum,13529343,Resolved,Major,Information Provided,21/Mar/23 03:08,27/Mar/23 14:20,,"Hi Hadoop-Azure community,

I cannot find much information on reason why abfs connector file level checksum is not supported, could you share some insights on why it doesn't support and is there plan to support in the future ? 

having this would be helpful for migrating data from on-prem to Azure storage using abfs connector

ref https://hadoop.apache.org/docs/stable/hadoop-azure/abfs.html

"
Broken links for arm build of hadoop 3.3.5,13529926,Resolved,Major,Fixed,24/Mar/23 07:57,24/Mar/23 12:16,3.3.5,The 3.3.5 release include arm builds under the link [https://dlcdn.apache.org/hadoop/common/hadoop-3.3.5/hadoop-arm64-3.3.5.tar.gz] notice the `arm64` suffix before the version number. But the download links on the release page [https://hadoop.apache.org/releases.html]  `hadoop/common/hadoop-3.3.5/hadoop-3.3.5-aarch64.tar.gz` using `aarch64` suffix after the version number.  This is also the suffix used the last time an arm build was published in release 3.3.1 [https://dlcdn.apache.org/hadoop/common/hadoop-3.3.1/]
CachedSASToken noisy log errors when SAS token has YYYY-MM-DD expiration,13529816,Open,Major,,23/Mar/23 15:59,,,"Error Description:

When using SAS tokens with expiration dates in the format YYYY-MM-DD, a frequent error appears in the logs related to the date format. The error expects an ISO_DATE_TIME. See [existing implementation|https://github.com/apache/hadoop/blob/trunk/hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azurebfs/utils/CachedSASToken.java#LL112-L119]. The error is noisy in the logs, but does not cause issues. 

Example stacktrace:
{code:java}
23/03/23 15:40:06 ERROR CachedSASToken: Error parsing se query parameter (2023-11-05) from SAS.
java.time.format.DateTimeParseException: Text '2023-11-05' could not be parsed at index 10
	at java.time.format.DateTimeFormatter.parseResolved0(DateTimeFormatter.java:1949)
	at java.time.format.DateTimeFormatter.parse(DateTimeFormatter.java:1851)
	at java.time.OffsetDateTime.parse(OffsetDateTime.java:402)
	at shaded.databricks.azurebfs.org.apache.hadoop.fs.azurebfs.utils.CachedSASToken.getExpiry(CachedSASToken.java:116)
	at shaded.databricks.azurebfs.org.apache.hadoop.fs.azurebfs.utils.CachedSASToken.update(CachedSASToken.java:168)
	at shaded.databricks.azurebfs.org.apache.hadoop.fs.azurebfs.services.AbfsInputStream.readRemote(AbfsInputStream.java:670)
	at shaded.databricks.azurebfs.org.apache.hadoop.fs.azurebfs.services.ReadBufferWorker.lambda$run$0(ReadBufferWorker.java:66)
	at com.databricks.common.SparkTaskIOMetrics.withTaskIOMetrics(SparkTaskIOMetrics.scala:43)
	at shaded.databricks.azurebfs.org.apache.hadoop.fs.azurebfs.services.ReadBufferWorker.run(ReadBufferWorker.java:65)
	at java.lang.Thread.run(Thread.java:750) {code}
Desired Resolution:

Expiration code can read YYYY-MM-DD format as well as existing format."
DockerContainerDeletionTask is not removed from the Nodemanager's statestore when the task is completed.,13525749,Open,Major,,22/Feb/23 13:43,,3.1.2,"YARN NodeManager's deletion service has two types of deletion tasks: the FileDeletionTask for deleting log, usercache, appcache files and the DockerContainerDeletionTask for deleting Docker containers.
 
The FileDeletionTask is removed from the statestore when the task is completed, but the DockerContainerDeletionTask is not.
Therefore, the DockerContainerDeletionTask accumulates continuously in the statestore.
 
This causes the NodeManager's deletion service to run the accumulated DockerContainerDeletionTask in the statestore when the NodeManager restarts.

As a result, the FileDeletionTask and DockerContainerDeletionTask are delayed unnecessarily while processing accumulated tasks, which can cause disk full issues in environments where a large number of containers are allocated and released.

I will attach a patch soon"
"Hadoop ""current"" documentation link broken after release 3.3.5.",13529862,Resolved,Major,Fixed,23/Mar/23 20:17,23/Mar/23 20:31,,"From hadoop.apache.org, access Documentation -> Current, leading to:

https://hadoop.apache.org/docs/current/

This results in a Forbidden response, seemingly since completion of the 3.3.5 release. (To see this, you might need to refresh your browser if it's still serving a cached copy of the 3.3.4 docs from this link.)"
IOUtils.wrapWithMessage can't wrap exceptions without string constructor,13528486,Open,Major,,14/Mar/23 18:32,,3.3.4,"When and attempt is made to wrap {{AbfsRestOperationException}}; it fails as there's no string constructor there.


{code}
java.lang.NoSuchMethodException: org.apache.hadoop.fs.azurebfs.contracts.exceptions.AbfsRestOperationException.<init>(java.lang.String)
        at java.lang.Class.getConstructor0(Class.java:3082)
        at java.lang.Class.getConstructor(Class.java:1825)
        at org.apache.hadoop.io.IOUtils.wrapWithMessage(IOUtils.java:507)
        at org.apache.hadoop.io.IOUtils.wrapException(IOUtils.java:491)
        at org.apache.hadoop.fs.azurebfs.services.AbfsOutputStream.close(AbfsOutputStream.java:495)
        at org.apache.hadoop.fs.FSDataOutputStream$PositionCache.close(FSDataOutputStream.java:77)
        at org.apache.hadoop.fs.FSDataOutputStream.close(FSDataOutputStream.java:106)

{code}

proposed: handle NoSuchMethodException and downgrade to wrapping with a simple iOE. reluctant to not wrap in close() as we've had bizarre failures in the past there with try-with-resources failures
"
DecayRpcSchedulerDetailedMetrics display name numbers incremented by 1,13528405,Open,Major,,14/Mar/23 10:58,,,"It should keep names consistent with {color:#00875a}DecayRpcSchedulerMetrics{color}, to avoid confusion.


What might be displayed as Priority.0 and Priority.1 for {color:#00875a}DecayRpcSchedulerMetrics{color}, it's Priority.1 and Priority.2 for {color:#00875a}DecayRpcSchedulerDetailedMetrics{color}."
ABFS to add Auditing support and attach http referrer to requests,13527823,Open,Major,,09/Mar/23 14:19,,3.3.5," the s3a auditing feature of HADOOP-17511 is wonderful in production, as we can
* scan for all IO done by a single user, job, operation
* get a comprehensive view of what was done to the store, in the order it saw it, which doesn't always match the order the client logged it, especially logged outcomes as that only happens when the threads get scheduled.

the abfs TracingContext effectively does most of this. All that is needed is to integrate with the hadoop-common audit interfaces/apis
* TracingContext to pick up global/thread-local audit contexts in construction and so extract information (tool class; principal; spark job id. etc)

The manifest committer already sets task id on the active thread whenever entered; this persists through all the IO done by the spark worker. "
Hadoop DistCp supports specifying favoredNodes for data copying,13524576,Open,Major,,14/Feb/23 03:12,,3.3.4,"When importing large scale data to HBase, we always generate the hfiles with other Hadoop cluster, use the Distcp tool to copy the data to the HBase cluster, and bulkload data to HBase table. However, the data locality is rather low which may result in high query latency. After taking a compaction it will recover. Therefore, we can increase the data locality by specifying the favoredNodes in Distcp.

Could I submit a pull request to optimize it?"
S3A proxy to use proxy protocol to set port,13526011,Open,Major,,24/Feb/23 07:27,,,"In the current code, we use the Cloud store's protocol to set the proxy's port({*}If no port is set{*}).
{code:java}
if (conf.getBoolean(SECURE_CONNECTIONS, DEFAULT_SECURE_CONNECTIONS)) {
          LOG.warn(""Proxy host set without port. Using HTTPS default 443"");
          awsConf.setProxyPort(443);
        } else {
          LOG.warn(""Proxy host set without port. Using HTTP default 80"");
          awsConf.setProxyPort(80);
        } {code}
We should use the proxy protocol instead."
site intro docs to make clear Kerberos is mandatory for secure clusters,13524203,Resolved,Major,Fixed,10/Feb/23 10:35,17/Feb/23 16:33,3.3.4,"make extra clear in the intro docs that you need to turn kerberos on or run a private network where all accessors have unrestricted access to all storage and compute.
"
Add libhdfs APIs for createFile,13524838,Resolved,Major,Duplicate,15/Feb/23 12:19,15/Feb/23 12:20,,"HDFS-14478 introduces builder-based APIs for openFile() based on HADOOP-15229.

We should also add builder-based APIs for createFile() based on HADOOP-14365.

This would be especially useful for object stores to tune performance of file writes."
[Azure FS] Add new property to configure credential provider path for azure storage.,13524152,Open,Major,,10/Feb/23 05:06,,3.1.1,"Azure storage supports account-specific credentials, and thus the credential provider should permit the configuration of separate JCEKS files for each account, such as the property ""{*}fs.azure.account.credential.provider.path.<account>.blob.core.windows.net{*}"".

 

This Jira utilize new API supported in HADOOP-18618 for external provider path."
Make IOStatisticsStore and binding APIs public for use beyond our code,13522982,Open,Major,,03/Feb/23 19:19,,3.3.5,"it's really useful to be able to collect iostats in things other than the FS classes -we do it in the S3A and manifest committers.

But external code -such as the spark committers can't use the methods in {{org.apache.hadoop.fs.statistics.impl))

Proposed

Make some classes/interfaces public

* IOStatisticsBinding
* IOStatisticsStore
* IOStatisticsStoreBuilder

Ideally we should actually move the IOStatisticsStore interface into org.apache.hadoop.fs.statistics and the builder to match -but we can't do that without causing trauma elsewhere (google gcs).

Strategy there: Add a new interface IOStatisticsCollector in .impl which is then implemented by IOStatisticsStore, and a new builder API which forwards to IOStatisticsStoreBuilder.

Side issue: we don't make any use of the ""clever, elegant functional"" bit of DynamicIOStatisticsBuilder/DynamicIOStatistics, where every counter is mapped to a function which is then invoked to get at the atomic longs. It's used in IOStatisticsStoreImpl, but only with AtomicLong and MeanStatistic instances. If we just move to simple maps we will save on lambda-expressions and on lookup overhead. The original intent was something like coda hale metrics where we could add dynamic lookup to other bits of instrumentation; in practise we measure durations and build counts/min/max."
